alpha,composite_anjali_score,data_collected_at,dii_1yr,dii_quarter,ev_ebitda,ev_sales,fii_1yr,fii_quarter,final_score,future_pe,future_peg,future_return,g_score,growth_score,id,index_group,irs_pct,irs_raw,loss_profit_qoq,loss_profit_ttm,loss_profit_yoy,market,market_cap_bn,net_profit_ttm_growth,net_profit_yoy_growth,pb_ratio,pe_ratio,qoq_profit_growth,qoq_sales_growth,qtr_beta,qtr_std,rebalance_date,refreshed_at,return_1yr,return_2yr,return_3m,return_6m,return_score,revenue_bn,risk_eff_score,risk_score,sales_ttm_growth,sales_yoy_growth,stocks_list,strategy_stocks,ticker,ttm_peg,ttm_revenue_bn,valuation_score,yr_beta,yr_std
,-9.0,2026-06-12T20:40:05.727207+00:00,,,34.94,6.47,,,,57.02,3.5,,-7.0,-4.0,2ca5dc40-fcbb-41be-b215-a476e693e183,NIFTY200,22.5,-11.0,True,False,False,IN,1244.21,16.28,21.099999999999998,24.37,49.04,-0.24,-4.08,0.7411,22.38,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,191.52,-4.0,-2.0,7.55,7.9,,,BRITANNIA,3.01,191.52,-3.0,0.6244,20.15
,-8.5,2026-06-12T20:40:06.741727+00:00,,,29.4,5.46,,,,42.84,5.94,,-8.0,-4.0,87d4e35e-c42b-4fa8-86ad-8c241b890938,NIFTY200,27.5,-9.0,True,False,False,IN,756.3,7.21,15.2,6.62,39.96,-34.18,-14.63,0.9453,28.91,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,131.93,-1.0,-0.5,5.01,7.3,,,DABUR,5.54,131.93,-4.0,0.8917,22.77
,-8.5,2026-06-12T20:40:07.842506+00:00,,,33.96,7.06,,,,57.18,114.36,,-8.0,-4.0,2d0e0a71-b40b-4287-91f9-c4ed9a638257,NIFTY200,27.5,-9.0,True,False,False,IN,1057.32,0.5,9.700000000000001,8.35,56.9,-9.27,-4.77,0.9342,29.67,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,151.78,-1.0,-0.5,8.5,8.4,,,GODREJCP,113.8,151.78,-4.0,0.7616,24.08
,-7.5,2026-06-12T20:40:08.90029+00:00,,,29.48,9.13,,,,39.39,-5.08,,-5.5,-4.0,116e1938-ddc9-42b5-956c-cf2ce80eea6b,NIFTY200,26.2,-9.5,False,True,True,IN,565.46,-7.76,-0.5,35.7,42.7,9.1,7.46,0.7789,28.09,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,60.35,-4.0,-2.0,-0.26,9.1,,,COLPAL,-5.5,60.35,-1.5,0.7994,22.86
,2.0,2026-06-12T20:40:09.950589+00:00,,,14.36,2.7,,,,26.36,2.78,,1.0,-2.0,001164f4-7992-4e75-9141-c3e158df52ba,NIFTY200,57.5,3.0,False,False,False,IN,433.23,9.47,14.000000000000002,4.26,24.08,0.11,7.24,0.8469,33.57,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,158.8,2.0,1.0,7.17,14.399999999999999,,,MPHASIS,2.54,158.8,3.0,0.9093,27.93
,0.0,2026-06-12T20:40:10.987602+00:00,,,21.77,9.87,,,,34.25,3.14,,-1.0,1.0,d3e7f8ab-09b4-4776-8a9b-55a929cbf78d,NIFTY200,52.5,1.0,False,False,False,IN,812.09,10.91,30.599999999999998,10.37,30.88,38.07,5.05,0.5595,38.77,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,76.72,2.0,1.0,12.05,20.3,,,OFSS,2.83,76.72,-2.0,0.8044,31.09
,-7.0,2026-06-12T20:40:12.100183+00:00,,,9.05,1.67,,,,14.41,30.66,,-6.0,-4.0,c9a2dfef-ebe8-4832-8700-79534a90808f,NIFTY200,30.0,-8.0,False,False,True,IN,1889.87,0.47,-1.6,2.15,14.34,12.27,2.89,0.6898,29.96,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,926.24,-2.0,-1.0,3.97,7.7,,,WIPRO,30.51,926.24,-2.0,0.7184,24.84
,-1.5,2026-06-12T20:40:27.321895+00:00,,,,5.86,,,,18.88,4.21,,-1.0,-2.0,f3a83db3-95f1-48fd-a9c0-6b36a2af2c36,NIFTY200,45.0,-2.0,False,False,False,IN,778.2,4.48,22.2,1.94,18.07,22.57,15.32,1.0176,27.46,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,145.3,-1.0,-0.5,14.6,12.3,,,FEDERALBNK,4.03,145.3,1.0,0.9397,24.56
,-8.5,2026-06-12T20:40:28.457959+00:00,,,,3.61,,,,12.03,-0.22,,-4.5,-4.0,867a1669-75e9-4455-b3ee-08217d2b3edd,NIFTY200,18.8,-12.5,False,True,False,IN,329.61,-55.43,68.0,1.29,26.99,159.81,5.53,1.6101,48.13,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,94.33,-8.0,-4.0,-6.18,119.30000000000001,,,BANDHANBNK,-0.49,94.33,-0.5,1.4884,35.98
,5.0,2026-06-12T20:40:29.48332+00:00,,,,2.88,,,,31.85,1.41,,2.5,1.5,95986dac-4dd1-422c-8fbe-b7971e1bb9cc,NIFTY200,68.8,7.5,False,False,False,IN,226.62,22.59,367.9,1.35,25.98,7.23,1.23,1.1998,34.54,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,79.46,5.0,2.5,2.4,40.8,,,RBLBANK,1.15,79.46,1.0,1.1042,31.61
,6.0,2026-06-12T20:40:30.491728+00:00,,,,,,,,29.5,0.68,,3.0,-0.5,84184882-bad5-4fd9-8935-4b62ac0c56e0,NIFTY200,72.5,9.0,False,False,False,IN,722.51,43.54,11.799999999999999,1.46,20.55,13.13,6.44,1.2389,34.15,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,159.3,6.0,3.0,11.71,19.8,,,YESBANK,0.47,159.3,3.5,1.1861,26.39
,-1.0,2026-06-12T20:40:31.567685+00:00,,,,34.7,,,,5.65,1.9,,-3.0,-4.0,071a3881-9625-4e05-8e94-d19c2eeccc77,NIFTY200,52.5,1.0,False,False,False,IN,307.76,2.97,8.6,0.74,5.49,6.76,4.99,1.1019,33.33,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,85.19,4.0,2.0,5.73,4.3999999999999995,,,LICHSGFIN,1.85,85.19,1.0,1.1389,24.88
,1.0,2026-06-12T20:40:32.613599+00:00,,,,18.3,,,,21.5,-1.23,,-2.5,-4.0,22e2e493-3a0f-425f-900a-855c65779ca3,NIFTY200,61.3,4.5,False,True,False,IN,286.69,-17.5,,1.61,26.06,67.58,7.24,1.0692,36.58,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,41.83,7.0,3.5,-11.68,109.3,,,MANAPPURAM,-1.49,41.83,1.5,1.2139,31.93
,9.0,2026-06-12T20:40:33.605471+00:00,,,,13.51,,,,22.9,0.23,,7.0,4.0,9cf3debc-64f7-4969-b0d4-0b4ed8f49563,NIFTY200,77.5,11.0,False,False,False,IN,1221.35,98.58,126.69999999999999,3.12,11.53,19.45,15.34,1.4696,39.45,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,191.83,4.0,2.0,57.66,53.7,,,MUTHOOTFIN,0.12,191.83,3.0,1.2519,35.07
,3.0,2026-06-12T20:40:34.682139+00:00,,,,24.95,,,,31.13,1.37,,5.0,2.0,a40a4679-ce11-4f7d-aafd-2f32928669bc,NIFTY200,52.5,1.0,False,False,False,IN,1336.79,22.75,29.099999999999998,4.38,25.36,27.54,10.26,1.8,40.13,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,131.53,-4.0,-2.0,25.6,24.099999999999998,,,CHOLAFIN,1.11,131.53,3.0,1.6118,31.21
,-5.5,2026-06-12T20:40:35.788877+00:00,,,,16.82,,,,18.81,3.82,,-1.5,-0.5,8f003755-13de-4fb7-a193-3aefd9f56cfe,NIFTY200,26.2,-9.5,False,False,False,IN,2246.92,4.92,40.9,2.73,17.93,19.42,5.62,2.0919,44.27,,2026-06-12T20:40:41.072853+00:00,,,,,0.0,207.08,-8.0,-4.0,14.2,16.7,,,SHRIRAMFIN,3.64,207.08,-1.0,1.9557,34.37
