alpha_score,composite_score,computed_at,dii_1yr,dii_quarter,ev_ebitda,ev_sales,fii_1yr,fii_quarter,final_score,future_pe,future_peg,future_return,g_score,growth_score,index_group,irs_pct,irs_raw,loss_profit_qoq,loss_profit_ttm,loss_profit_yoy,market,market_cap_b,net_profit_ttm_1yr_growth,net_profit_yoy_growth,pb_ratio,pe_ratio,qoq_profit_growth,qoq_sales_growth,qtr_beta,qtr_std,rebalance_date,return_1yr,return_2yr,return_3m,return_6m,return_score,revenue_b,risk_eff_score,risk_score,sales_ttm_1yr_growth,sales_yoy_growth,sector,stocks_list,strategy_stocks,sub_sector,ticker,ttm_peg,ttm_revenue_b,valuation_score,yr_beta,yr_std
,1.0,2026-06-10T03:00:34.099838+00:00,,,28.79,10.2,,,,44.94,2.3,,0.5,0.5,SP500,53.75,1.5,True,False,False,US,,19.5,21.8,43.05,37.61,-29.7,-22.7,0.88,21.78,,56.91,65.65,18.16,10.59,2.5,,1.0,0.5,6.4,16.6,Technology,,,Consumer Electronics,AAPL,1.93,,-2.5,0.9552,22.08
,-4.0,2026-06-10T03:00:34.10001+00:00,,,15.04,7.16,,,,105.37,-87.81,,-3.5,-1.0,SP500,38.75,-4.5,True,True,True,US,,-1.2,-46.2,,106.65,-61.7,-9.7,0.4412,25.17,,21.62,51.14,-5.9,-1.28,-0.5,,-1.0,-0.5,8.6,12.4,Healthcare,,,Drug Manufacturers - General,ABBV,-88.88,,-2.0,0.1753,23.91
,-1.0,2026-06-10T03:00:34.100158+00:00,,,26.86,5.56,,,,30.88,-5.94,,-2.0,-1.0,SP500,50.0,0.0,True,True,False,US,,-5.2,6.0,10.48,32.57,-53.1,-3.6,1.4617,30.1,,4.78,-8.26,0.93,13.22,0,,2.0,1.0,10.3,17.9,Consumer Cyclical,,,Travel Services,ABNB,-6.26,,-1.0,1.269,29.02
,-3.0,2026-06-10T03:00:34.100304+00:00,,,15.14,3.94,,,,11.67,-0.23,,-3.0,-2.0,SP500,42.5,-3.0,True,True,True,US,,-51.3,-19.7,2.89,23.97,-39.4,-2.6,0.4752,25.39,,-33.71,-10.82,-23.9,-31.82,-3.5,,0.0,0,5.7,7.8,Healthcare,,,Medical Devices,ABT,-0.47,,2.5,0.1984,23.89
,-5.5,2026-06-10T03:00:34.100484+00:00,,,5.34,1.59,,,,7.17,3.58,,-4.0,0,SP500,32.5,-7.0,True,False,False,US,,2.0,94.6,1.36,7.03,-15.4,-8.1,0.1293,20.83,,-3.75,-6.1,-10.28,-2.67,-2.0,,-3.0,-1.5,14.0,-3.3,Financial Services,,,Insurance - Diversified,ACGL,3.52,,-2.0,-0.1007,20.95
,-4.5,2026-06-10T03:00:34.10061+00:00,,,8.64,1.53,,,,15.45,2.71,,-6.5,-2.0,SP500,43.75,-2.5,True,False,False,US,,5.7,4.0,3.51,14.62,-17.5,-3.7,-0.0088,37.7,,-43.09,-37.36,-12.63,-30.11,-3.5,,4.0,2.0,7.4,8.3,Technology,,,Information Technology Services,ACN,2.56,,-1.0,0.7112,34.72
,2.0,2026-06-10T03:00:34.100774+00:00,,,10.23,3.98,,,,18.05,0.64,,-0.5,1.0,SP500,61.25,4.5,False,False,False,US,,28.2,11.1,8.57,14.08,1.8,3.3,0.1652,39.68,,-41.59,-49.45,-7.45,-25.22,-3.5,,5.0,2.5,10.5,12.0,Technology,,,Software - Application,ADBE,0.5,,2.0,0.5805,32.21
,4.0,2026-06-10T03:00:34.100922+00:00,,,34.05,16.43,,,,86.62,2.24,,4.5,3.5,SP500,58.75,3.5,False,False,False,US,,38.7,110.5,6.05,62.45,41.6,14.7,1.6225,38.32,,97.17,89.55,19.27,58.27,4.0,,-1.0,-0.5,16.9,37.2,Technology,,,Semiconductors,ADI,1.61,,-3.0,1.401,30.27
,2.0,2026-06-10T03:00:34.101089+00:00,,,19.26,0.61,,,,21.22,-0.53,,2.0,-4.0,SP500,55.0,2.0,True,True,False,US,,-40.1,0.9,1.69,35.42,-34.6,10.4,-0.1002,29.33,,70.69,43.04,15.74,34.13,3.5,,0.0,0,-6.2,1.6,Consumer Defensive,,,Farm Products,ADM,-0.88,,2.5,-0.029,26.81
,-4.0,2026-06-10T03:00:34.101257+00:00,,,14.05,4.12,,,,22.27,2.56,,-4.0,-1.5,SP500,40.0,-4.0,False,False,False,US,,8.7,10.5,13.87,20.49,28.0,10.8,-0.292,30.69,,-30.46,-4.1,3.12,-12.79,-2.0,,0.0,0,7.1,7.0,Technology,,,Software - Application,ADP,2.36,,-0.5,0.2627,23.6
,-4.0,2026-06-10T03:00:34.101423+00:00,,,26.75,7.07,,,,45.79,41.63,,-6.0,0,SP500,45.0,-2.0,True,False,False,US,,1.1,6.3,16.78,45.29,-7.9,5.6,0.3453,36.01,,-18.87,15.56,-2.43,-21.03,-2.0,,4.0,2.0,17.5,19.4,Technology,,,Software - Application,ADSK,41.17,,-4.0,0.7589,31.23
,0.5,2026-06-10T03:00:34.10156+00:00,,,13.47,6.04,,,,24.13,1.04,,2.0,0,SP500,47.5,-1.0,False,False,False,US,,23.2,19.6,2.22,19.59,41.7,22.1,0.2332,18.07,,16.54,65.07,-2.86,7.24,0.5,,-3.0,-1.5,15.4,3.7,Utilities,,,Utilities - Regulated Electric,AEE,0.84,,1.5,0.0505,15.23
